,fold,n_neighbors,algorithm,value,dataset
655,15,400,umap,0.964551172098342,MNIST
656,16,400,umap,0.9779811266800115,MNIST
657,17,400,umap,0.9528032036613272,MNIST
658,18,400,umap,0.9670958512160229,MNIST
659,19,400,umap,0.9856938483547926,MNIST
660,0,800,umap,0.9689015691868759,MNIST
661,1,800,umap,0.9697488584474886,MNIST
662,2,800,umap,0.96175799086758,MNIST
663,3,800,umap,0.9651727091064801,MNIST
664,4,800,umap,0.9660194174757282,MNIST
665,5,800,umap,0.9688660382747787,MNIST
666,6,800,umap,0.9700085689802913,MNIST
667,7,800,umap,0.961439588688946,MNIST
668,8,800,umap,0.9657240788346186,MNIST
669,9,800,umap,0.9648671808054842,MNIST
670,10,800,umap,0.966,MNIST
671,11,800,umap,0.9651428571428572,MNIST
672,12,800,umap,0.9648571428571429,MNIST
673,13,800,umap,0.9559748427672956,MNIST
674,14,800,umap,0.967409948542024,MNIST
675,15,800,umap,0.964551172098342,MNIST
676,16,800,umap,0.9779811266800115,MNIST
677,17,800,umap,0.9508009153318078,MNIST
678,18,800,umap,0.9665236051502146,MNIST
679,19,800,umap,0.9856938483547926,MNIST
680,0,1600,umap,0.9686162624821684,MNIST
681,1,1600,umap,0.9691780821917808,MNIST
682,2,1600,umap,0.9603310502283106,MNIST
683,3,1600,umap,0.9651727091064801,MNIST
684,4,1600,umap,0.9651627641347801,MNIST
685,5,1600,umap,0.967723507569266,MNIST
686,6,1600,umap,0.9674378748928878,MNIST
687,7,1600,umap,0.9600114253070551,MNIST
688,8,1600,umap,0.9654384461582405,MNIST
689,9,1600,umap,0.9640102827763496,MNIST
690,10,1600,umap,0.9654285714285714,MNIST
691,11,1600,umap,0.964,MNIST
692,12,1600,umap,0.9645714285714285,MNIST
693,13,1600,umap,0.9545454545454546,MNIST
694,14,1600,umap,0.9671240708976558,MNIST
695,15,1600,umap,0.9639794168096055,MNIST
696,16,1600,umap,0.9774092078924793,MNIST
697,17,1600,umap,0.950228832951945,MNIST
698,18,1600,umap,0.9656652360515021,MNIST
699,19,1600,umap,0.9854077253218884,MNIST
700,0,3200,umap,0.9677603423680456,MNIST
701,1,3200,umap,0.9691780821917808,MNIST
702,2,3200,umap,0.959189497716895,MNIST
703,3,3200,umap,0.9640308307165287,MNIST
704,4,3200,umap,0.9643061107938321,MNIST
705,5,3200,umap,0.9665809768637532,MNIST
706,6,3200,umap,0.9665809768637532,MNIST
707,7,3200,umap,0.9588688946015425,MNIST
708,8,3200,umap,0.9640102827763496,MNIST
709,9,3200,umap,0.9622964867180805,MNIST
710,10,3200,umap,0.9648571428571429,MNIST
711,11,3200,umap,0.9628571428571429,MNIST
